IUPUI 	.0880
UC Riverside 	.1533
Sacred Heart 	.2402
Nevada Las Vegas 	.8587
Ohio 	.7271
Tennessee Martin 	.0954
Detroit 	.7473
Youngstown St. 	.3992
Jackson St. 	.1442
Jacksonville 	.1907
Northwestern St. 	.5746
William & Mary 	.3722
Western Illinois 	.4906
South Carolina 	.3757
Evansville 	.7156
Missouri St. 	.3875
James Madison 	.4613
San Francisco 	.5682
Siena 	.1854
Winthrop 	.2304
North Texas 	.2881
Miami OH 	.2942
UAB 	.5064
Wagner 	.4484
Boston University 	.5324
Maryland 	.8098
Creighton 	.9058
Toledo 	.4426
Mississippi Valley St. 	.0638
Bethune Cookman 	.2296
Texas Christian 	.2493
Cornell 	.2510
Florida Atlantic 	.3274
Southern Methodist 	.4590
Pacific 	.6098
Marquette 	.8806
St. Bonaventure 	.6172
Northern Illinois 	.1152
Western Carolina 	.3139
College of Charleston 	.5157
Santa Clara 	.6960
Arkansas 	.7521
Washington St. 	.7011
Lamar 	.0460
Cal St. Bakersfield 	.3090
Florida 	.9757
Savannah St. 	.3604
Richmond 	.7177
Rice 	.1327
Delaware St. 	.1943
California 	.7924
Colorado St. 	.8848
Rhode Island 	.4328
Purdue 	.7762
San Jose St. 	.1497
Radford 	.1905
Appalachian St. 	.2768
Hartford 	.3523
Wyoming 	.6618
George Mason 	.5535
Butler 	.8143
Charleston Southern 	.4461
Quinnipiac 	.4060
Arkansas Pine Bluff 	.2011
Alabama 	.7891
Robert Morris 	.5560
Virginia Tech 	.4899
Fresno St. 	.6735
NC Greensboro 	.2190
DePaul 	.4974
North Florida 	.2587
East Carolina 	.5200
Southern California 	.6696
Pittsburgh 	.9425
Hawaii 	.4042
Fairfield 	.5133
Florida St. 	.6189
IUPU Fort Wayne 	.3111
Mercer 	.5861
Southern Mississippi 	.8088
Louisville 	.9721
Louisiana Monroe 	.1042
Missouri Kansas City 	.1329
NC Wilmington 	.1985
Indiana 	.9655
Arizona 	.8944
Davidson 	.7940
NJ Inst of Technology 	.2485
Providence 	.7757
Idaho 	.4212
New Orleans 	.0439
MD Baltimore County 	.1673
NC Asheville 	.3835
Lehigh 	.6715
Texas 	.6706
Loyola MD 	.6087
South Alabama 	.4224
Grambling 	.0044
Kennesaw St. 	.0935
Houston Baptist 	.1167
Drexel 	.4902
Stetson 	.3181
Massachusetts 	.7177
Duke 	.9453
Michigan 	.9281
Syracuse 	.9211
Bucknell 	.7885
Missouri 	.8965
Ohio St. 	.9445
Longwood 	.0879
Nicholls St. 	.1925
Eastern Michigan 	.3052
George Washington 	.6413
Virginia 	.8761
Georgia Tech 	.6774
North Dakota St. 	.7597
Furman 	.0654
Austin Peay 	.1755
Campbell 	.1840
Colgate 	.2450
Nevada 	.5008
Delaware 	.4740
Boise St. 	.8286
Morehead St. 	.3437
Alabama St. 	.0816
Florida A&M 	.1105
Coppin St. 	.1440
Army 	.5224
Bradley 	.4725
Fairleigh Dickinson 	.0775
Texas A&M Corpus Chris 	.1657
